shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000189,chebi:24863,http://purl.obolibrary.org/obo/CHEBI_24863,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,149,149.0,149,1.0,100.0,chebi:24863 -> sio:000008 -> cheminf:000018,
shape_000175,chebi:24676,http://purl.obolibrary.org/obo/CHEBI_24676,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,2224,2224.0,2224,1.0,100.0,chebi:24676 -> sio:000008 -> cheminf:000018,
shape_000176,chebi:24681,http://purl.obolibrary.org/obo/CHEBI_24681,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,119,119.0,119,1.0,100.0,chebi:24681 -> sio:000008 -> cheminf:000018,
shape_000177,chebi:24689,http://purl.obolibrary.org/obo/CHEBI_24689,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,2251,2251.0,2251,1.0,100.0,chebi:24689 -> sio:000008 -> cheminf:000018,
shape_000178,chebi:24745,http://purl.obolibrary.org/obo/CHEBI_24745,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,586,586.0,586,1.0,100.0,chebi:24745 -> sio:000008 -> cheminf:000018,
shape_000179,chebi:24751,http://purl.obolibrary.org/obo/CHEBI_24751,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1632,1632.0,1632,1.0,100.0,chebi:24751 -> sio:000008 -> cheminf:000018,
shape_000181,chebi:24789,http://purl.obolibrary.org/obo/CHEBI_24789,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,226,226.0,226,1.0,100.0,chebi:24789 -> sio:000008 -> cheminf:000018,
shape_000182,chebi:24803,http://purl.obolibrary.org/obo/CHEBI_24803,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,421,421.0,421,1.0,100.0,chebi:24803 -> sio:000008 -> cheminf:000018,
shape_000167,chebi:24613,http://purl.obolibrary.org/obo/CHEBI_24613,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,36,36.0,36,1.0,100.0,chebi:24613 -> sio:000008 -> cheminf:000018,
shape_000168,chebi:24628,http://purl.obolibrary.org/obo/CHEBI_24628,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,142,142.0,142,1.0,100.0,chebi:24628 -> sio:000008 -> cheminf:000018,
